Participant ID,Dialect index (0–6),Dialect index (0-10),Nordavinden og sola (Oslo / South-East features),Nord. e - aei (diphthongisation),F,tjukk /l/,høgtone,Nord. score,Picture descrip. (Oslo / South-East features),Pic. score,Fritid (Oslo / South-East features),Fritid score,Frokost (Oslo / South-East features),Frokost score,Daglige rutine (Oslo / South-East features),Daglige rutine score,Bart (re),Barn (re),har du (re),stor skog (re),garde (re),Morder (re),ikke (p),kveld (p),fjell (p),hva (hv),hvordan (hv),banan (EN-accent),Holmenkollen (d),for alle (d),Oslo (/sh/-/s/),Tromsø (d),"Morsmålsdagen (d, p)","takk (d, p)",mann (d),,AF / 2,wordlist / 6,gjenta / jenta,løpe / løpet,rote / rotet,kaste / kastet,tegne / tegnet,skjære / kjære,hat / hatt,tak / takk,flyte / flytte,bøter / bøtter,føl / føll,supe / suppe,slippe / slippet,stoppe / stoppet,tone 2 dialect  score,Jak się nazywasz?,Ile masz lat?,Kim jesteś?,On nie lubi jeździć na nartach.,Jakie jest twoje ulubione święto?,Gdzie mieszkasz?,Kto jest twoim ulubionym aktorem?,Ona nie mieszka w Tromsø.,Jaki jest twój ulubiony kolor?,Gdzie spędzisz święta Bożego Narodzenia?,Kto jest twoim ulubionym piosenkarzem?,Nie obchodzę świąt Bożego Narodzenia.,Jakie jest twoje ulubione jedzenie?,Gdzie lubisz wyjeżdżać na wakacje?,Kto jest twoim najlepszym przyjacielem?,Nie lubię cebuli.,To jest moja koszula.,Kupiłem/am półkę na książki.,Ona ma moją książkę.,Przeczytałem/am gazetę.,On zna moją żonę. ,Widziałem/am kobietę.,On kocha moją córkę.,Znalazłem/am mysz. ,Mieszkam w Oslo,Mieszkam w Tromso,Mówię po norwesku,Mówię po norwesku,Jemy banana,Mamy auto,Jesteśmy szczęśliwi,Ta góra (Bærj / Berg),Te książki,Ładne wzgórze (Hævv / Haug),Tamte klify (Kløppe / Klippe),Idę na ślub (Brølløp / Bryllup),translation / 12,translation / 10,,Vowels,,,,,,,for alle (d)
AD4407AR,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,NA,1,NA,NA,3,1.5,1.6,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,com,COM,F,F,F,COM,F,NA,1,1,1,1,0,0,0,0,0,0,0,0,4,4.28,,,,,,,,,0
AJ4708RZ,1,1.7,dyftongisering /e/-/æi/,1,0,0,0,1,,0,"F (sida, elva, marka)",1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,4,2,2.2,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,COM,NA,COM,COM,COM,NA,COM -F,NA,1,1,1,1,1,0,0,0,0,0,0,0,5,5.35,,,,,,,,,0
AS6503AU,5.0,,"kjeklet, tjukk l, retroflex, F, lav and høgtone",,,,,4,"lav and høgtone, tjukk l, retrofleks, F, -a ending, æi",6,"retrofleks, F, lav and høgtone, tjukk l, , -a ending, ø, æi",7,"retroflex, lav and høgotne, tjukk l",3,"retroflex, tjukk l, lav and høgtone, F, æi",5,1,1,1,0,1,1,NA,NA,NA,NA,NA,0,1,1,1,NA,1,NA,NA,9,4.5,4.9,slightly d,different t,different t,different t,different t ,different t,same t,same t,different t,different t,same t,different t,different t,different t,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,COM,COM,COM,COM,COM,COM,COM,1,1,1,1,0,1,1,NA,1,NA,NA,1,,,,,,,,,,,1
BB1234JA,0.4,,0,,,,,0,"F, ",1,F,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,1,0.5,0.5,same,same,same t.,same t.,same t.,same t,same t,same t.,same t.,same t.,same t.,same t ,same t.,same t.,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,COM,COM,COM,F,COM,NA,F,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,,,,,,,,,,,1
BD5701AG,4,6.8,F sola,0,1,0,0,1,"F, retrofleks, høgtone, ",3,høgtone,1,retrofleks,1,"høgtone, retrofleks, /l/",3,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,10,5,5.5,slightly different t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,different t.,same t.,slightly different t.,same t.,same t.,1.5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,COM,COM,COM,COM,F,COM,F,COM,1,1,1,1,1,1,0,1,0,0,0,0,7,7.49,,,,,,,,,1
JB5610NE,3,5.1,"høgtone, retrofleks, F,",0,1,0,1,3,"høgtone, tjukk l, F, retrofleks, F",4,"høgtone, tjukk l, retrofleks",3,"høgtone, tjukk l, retrofleks",3,"høgtone, retrofleks, tjukk l, ",3,1,1,0,0,1,1,NA,NA,NA,NA,NA,1,0,0,1,NA,1,NA,NA,7,3.5,3.8,slightly different t.,same t.,slightly different t.,same t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,same t.,same t.,same t.,same t.,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COM,COM,COM,COM,COM,COM,COM,COM,1,1,1,1,1,1,1,0,1,0,0,1,9,9.63,,,,,,,,,1
JS5412UL,4,6.8,"retrofleks, F, høgtone, tjukk l, æi",0,1,1,1,5,"retrofleks, høgtone, F, tjukk l, æi",5,"retrofleks, høgtone, ø, tjukk l",4,"retrofleks, tjukk l, høgtone",3,"retrofleks, F, høgtone, tjukk l",4,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,10,5,5.5,slightly different t.,same t.,different t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,slightly different t.,same t.,slightly different t.,slightly different t.,same t.,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,F,COM,F,F,F,F,F,COM,1,1,1,1,1,1,0,0,0,0,0,0,6,6.42,,,,,,,,,1
LS5416LI,4.9,,"kjeklet, tjukk l, retroflex, æi, F, lav and høgtone",,,,,5,"lav and høgtone, tjukk l, F, retroflex, ø",5,"retrofleks, F, lav and høgtone, tjukk l, ø",5,"retroflex, lav and høgtone,F, ø, tjukk l, ",5,"retroflex, tjukk l, lav and høgtone, F",4,1,1,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,1,na,1,NA,NA,10,5,5.5,different t,different t,different t,different t,different t ,different t,same t,same t,different t,different t,same t,different t,slightly d,different t,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COM,COM,COM,COM,F,COM,F,F,1,1,1,1,0,1,1,NA,1,NA,1,1,,,,,,,,,,,0
MG4723AG,3,5.1,traces of høgtone,0,0,0,1,1,"F, høgtone",2,høgtone,1,"F, høgtone",2,"høgtone, retrofleks, /l/",3,1,1,1,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,3,1.5,1.6,same t.,same t.,slightly different t.,same t.,same t.,slightly different t.,same t.,same t.,different t.,same t.,same t.,same t.,slightly different t.,same t.,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,COM,COM,F,F,COM,F,COM,1,1,1,1,0,0,0,1,0,0,0,0,5,5.35,,,,,,,,,1
MM5719AR,1,1.7,retrofleks,0,0,0,0,1,"retrofleks, ",1,retrofleks,1,retrofleks,1,0,0,1,1,1,0,1,1,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,9,4.5,4.9,same t.,slightly different t.,same t.,same t.,slightly different t.,different t.,same t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,same t.,3.5,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,COM,NA,COM,F,F,COM,F,NA,1,1,1,1,0,0,0,0,0,0,0,0,4,4.28,,,,,,,,,1
